"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","76","Авторизация с несуществующими логин-пароль выдает ошибку","tests","2026-05-13","passed","2026-05-13","TestLoginCourier","test_api_courier","",""
"","85","Авторизация курьера с корректными данными успешна","tests","2026-05-13","passed","2026-05-13","TestLoginCourier","test_api_courier","",""
"","177","Создание заказа с разными цветами, и без них, успешно","tests","2026-05-13","passed","2026-05-13","TestCreateOrder","test_api_order","",""
"","264","Создание нового курьера с полным набором данных успешно","tests","2026-05-13","passed","2026-05-13","TestCreateCourier","test_api_courier","",""
"","185","Создание заказа с разными цветами, и без них, успешно","tests","2026-05-13","passed","2026-05-13","TestCreateOrder","test_api_order","",""
"","255","Создание нового курьера с login уже зарегестрированного курьера выдает ошибку","tests","2026-05-13","failed","2026-05-13","TestCreateCourier","test_api_courier","",""
"","245","Создание нового курьера с данными полностью дублирующими уже созданного курьера выдает ошибку","tests","2026-05-13","failed","2026-05-13","TestCreateCourier","test_api_courier","",""
"","74","Создание нового курьера без пароля выдает ошибку","tests","2026-05-13","passed","2026-05-13","TestCreateCourier","test_api_courier","",""
"","69","Авторизация с некорректным паролем выдает ошибку","tests","2026-05-13","passed","2026-05-13","TestLoginCourier","test_api_courier","",""
"","172","Создание заказа с разными цветами, и без них, успешно","tests","2026-05-13","passed","2026-05-13","TestCreateOrder","test_api_order","",""
"","14742","Получение списка заказов успешно","tests","2026-05-13","passed","2026-05-13","TestOrderList","test_api_order","",""
"","60169","Авторизация без пароля выдает ошибку","tests","2026-05-13","failed","2026-05-13","TestLoginCourier","test_api_courier","",""
"","172","Создание заказа с разными цветами, и без них, успешно","tests","2026-05-13","passed","2026-05-13","TestCreateOrder","test_api_order","",""
"","79","Авторизация с незарегестрированным логином выдает ошибку","tests","2026-05-13","passed","2026-05-13","TestLoginCourier","test_api_courier","",""
"","63","Авторизация без логина выдает ошибку","tests","2026-05-13","passed","2026-05-13","TestLoginCourier","test_api_courier","",""
"","103","Создание нового курьера без логина выдает ошибку","tests","2026-05-13","passed","2026-05-13","TestCreateCourier","test_api_courier","",""
